Gender,Age,Daily meals frequency,Physical exercise,Height,Weight,BMR,Carbs,Proteins,Fats,Calories,BMI
0,35,3,0,173,110,2011.25,301.688,120.675,80.45,2413.502,36.75365031
0,23,3,0,168,58,1520,228,91.2,60.8,1824,20.54988662
0,26,3,0,157,114,1996.25,299.438,119.775,79.85,2395.502,46.24934074
0,24,3,0,175,80,1778.75,266.812,106.725,71.15,2134.498,26.12244898
0,25,3,0,168,49,1420,213,85.2,56.8,1704,17.36111111
1,37,2,0,157,80,1435.25,215.288,86.115,57.41,1722.302,32.45567772
1,50,2,0,152,65,1189,178.35,71.34,47.56,1426.8,28.13365651
0,25,3,0,185,78,1816.25,272.438,108.975,72.65,2179.502,22.79035793
1,29,3,0,145,97,1570.25,235.538,94.215,62.81,1884.302,46.13555291
0,24,2,0,170,88,1827.5,274.125,109.65,73.1,2193,30.44982699
1,20,2,1,155,53,1237.75,212.738,85.095,56.73,1701.902,22.0603538
0,21,3,0,175,62,1613.75,242.062,96.825,64.55,1936.498,20.24489796
0,33,3,0,173,52,1441.25,216.188,86.475,57.65,1729.502,17.37445287
0,22,2,2,170,82,1777.5,344.391,137.756,91.838,2755.13,28.37370242
0,18,3,2,188,70,1790,346.812,138.725,92.483,2774.495,19.80534178
1,49,3,0,140,72,1189,178.35,71.34,47.56,1426.8,36.73469388
0,21,3,0,175,56,1553.75,233.062,93.225,62.15,1864.498,18.28571429
1,54,2,0,140,57,1014,152.1,60.84,40.56,1216.8,29.08163265
1,24,2,0,170,55,1331.5,199.725,79.89,53.26,1597.8,19.03114187
0,26,3,0,157,95,1806.25,270.938,108.375,72.25,2167.502,38.54111729
0,28,2,1,170,98,1907.5,327.852,131.141,87.427,2622.815,33.9100346
1,21,2,1,175,84,1667.75,286.645,114.658,76.439,2293.163,27.42857143
0,30,2,0,180,91,1890,283.5,113.4,75.6,2268,28.08641975
0,29,4,0,168,102,1930,289.5,115.8,77.2,2316,36.13945578
1,41,4,0,145,78,1320.25,198.038,79.215,52.81,1584.302,37.09869203
0,23,3,2,168,78,1720,333.25,133.3,88.867,2666.003,27.63605442
1,40,3,0,142,78,1306.5,195.975,78.39,52.26,1567.8,38.68280103
1,42,3,0,152,99,1569,235.35,94.14,62.76,1882.8,42.84972299
0,23,3,4,175,69,1673.75,397.516,159.006,106.004,3180.124,22.53061224
1,30,4,0,163,95,1657.75,248.662,99.465,66.31,1989.298,35.75595619
0,28,4,0,163,94,1823.75,273.562,109.425,72.95,2188.498,35.3795777
0,23,2,0,163,85,1758.75,263.812,105.525,70.35,2110.498,31.99217133
0,22,3,0,168,61,1555,233.25,93.3,62.2,1866,21.61281179
1,27,2,1,152,64,1294,222.406,88.962,59.308,1779.244,27.70083102
0,22,4,4,183,68,1718.75,408.203,163.281,108.854,3265.622,20.30517483
1,21,2,0,155,47,1172.75,175.912,70.365,46.91,1407.298,19.56295525
1,20,4,2,178,70,1551.5,300.603,120.241,80.161,2404.825,22.09317005
0,26,3,1,173,77,1726.25,296.699,118.68,79.12,2373.596,25.72755521
1,25,3,0,152,70,1364,204.6,81.84,54.56,1636.8,30.29778393
0,25,3,0,163,50,1398.75,209.812,83.925,55.95,1678.498,18.81892431
1,46,3,0,145,103,1545.25,231.788,92.715,61.81,1854.302,48.98929845
1,22,3,0,163,45,1197.75,179.662,71.865,47.91,1437.298,16.93703188
0,22,3,0,170,50,1457.5,218.625,87.45,58.3,1749,17.30103806
1,34,2,0,152,78,1399,209.85,83.94,55.96,1678.8,33.76038781
1,23,2,0,147,56,1202.75,180.412,72.165,48.11,1443.298,25.91512796
0,25,3,0,163,96,1858.75,278.812,111.525,74.35,2230.498,36.13233468
1,22,3,1,152,55,1229,211.234,84.494,56.329,1689.873,23.80540166
0,19,3,0,173,80,1791.25,268.688,107.475,71.65,2149.502,26.7299275
0,22,3,0,183,85,1888.75,283.312,113.325,75.55,2266.498,25.38146854
0,23,3,0,175,65,1633.75,245.062,98.025,65.35,1960.498,21.2244898
0,19,3,1,185,100,2066.25,355.137,142.055,94.703,2841.095,29.2184076
1,22,4,3,165,65,1410.25,304.085,121.634,81.089,2432.677,23.87511478
0,21,4,4,178,64,1652.5,392.469,156.988,104.658,3139.75,20.19946976
0,23,3,0,163,92,1828.75,274.312,109.725,73.15,2194.498,34.62682073
0,28,4,0,160,90,1765,264.75,105.9,70.6,2118,35.15625
1,22,3,1,163,56,1307.75,224.77,89.908,59.939,1798.163,21.07719523
0,23,3,0,183,90,1933.75,290.062,116.025,77.35,2320.498,26.8744961
1,25,4,0,140,72,1309,196.35,78.54,52.36,1570.8,36.73469388
